game_id,stack,river_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__turn_player,last_raise_riverplayer,flop,turn,river,mise en cas de raise/bet,decision
808349713,6.17,0,6,Qd Tc,2.91,2,1.38,0.8414141414141414,0,0,1,-1,4c 9c Jc,4d,6c,1.38,bets
808348917,4.6499999999999995,0,5,Kd 5d,9.08,2,3.38,0.8383838383838383,0,0,1,1,4s 7d 2d,Ks,8c,0.0,calls
808348866,6.0,1,6,Jh As,14.0,4,8.0,0.43636363636363634,0,0,-1,2,9c Jd 7d,5d,Td,0.0,folds
808348110,4.3100000000000005,0,6,4c 5c,6.48,2,0.0,0.5060606060606061,0,0,1,-1,2s 5d 9d,6c,Ah,11.12,raises
808347937,2.7199999999999998,1,6,Ac Js,10.41,2,0.0,0.943939393939394,0,0,0,-1,6s Jd 4s,Ks,Jc,0.0,checks
808347937,2.7199999999999998,1,6,Ac Js,20.41,2,10.0,0.943939393939394,0,0,0,0,6s Jd 4s,Ks,Jc,0.0,calls
808347724,6.88,1,6,Qd Ad,1.5899999999999999,2,0.0,0.4212121212121212,0,0,-1,-1,8h 5s Th,5h,7s,0.0,checks
808347565,4.6899999999999995,0,6,9c Td,5.87,2,1.45,0.804040404040404,0,0,0,-1,4s Th 7c,2d,6s,1.45,bets
808347565,3.2399999999999993,0,6,9c Td,10.32,2,3.0,0.804040404040404,0,0,0,1,4s Th 7c,2d,6s,0.0,folds
808347083,6.87,1,6,7c Tc,1.3599999999999999,2,0.0,0.13383838383838384,0,0,-1,-1,6c Ad As,4h,5d,0.0,checks
808347083,6.87,1,6,7c Tc,2.2199999999999998,2,0.86,0.13383838383838384,0,0,-1,0,6c Ad As,4h,5d,0.0,folds
808346637,6.17,0,5,Ad Qc,3.0100000000000002,2,0.0,0.30808080808080807,0,0,-1,-1,Js 4c 6h,9s,7s,0.0,checks
808346247,12.85,0,3,Qc Th,4.55,2,7.0,0.8171717171717172,0,0,-1,-1,Js 2s Qs,6h,3c,7.0,bets
808346247,5.85,0,3,Qc Th,84.97,2,73.42,0.8171717171717172,0,0,-1,1,Js 2s Qs,6h,3c,0.0,folds
808345775,6.38,1,7,Qh Kd,2.34,2,3.5,0.8666666666666667,0,0,1,-1,Jd 4c Kc,Ts,2s,3.5,bets
808345290,13.5,1,5,3s 3d,3.5,2,0.0,0.47929292929292927,0,0,-1,-1,5s Kd 2c,6s,Th,0.0,checks
808345290,13.5,1,5,3s 3d,6.0,2,2.5,0.47929292929292927,0,0,-1,0,5s Kd 2c,6s,Th,0.0,folds
808345004,7.0,1,5,As 2s,1.1,2,0.0,0.45555555555555555,0,0,-1,-1,Jc Qh Ks,2d,7c,0.0,checks
808344980,4.55,1,9,Jd Ah,6.0,2,0.0,0.8101010101010101,0,0,0,-1,7d 8d As,5d,3c,0.0,checks
808344980,4.55,1,9,Jd Ah,9.8,2,3.8,0.8101010101010101,0,0,0,0,7d 8d As,5d,3c,0.0,calls
808344644,6.13,1,4,8h Qh,3.09,2,0.0,0.6848484848484848,0,0,0,-1,6s Th 8s,7d,Tc,0.0,checks
808344257,4.4399999999999995,1,4,Jc Jd,6.220000000000001,2,7.75,0.9808080808080808,0,0,-1,-1,4c Ac 6h,8s,Js,7.75,bets
