game_id,stack,flop_position,nb_players_start,cards,pot_size_before_decision,nb_unfolded_players,money_to_add_to_call,hand_strength,hand_pos_potential,hand_neg_potential,last_raise__preflop_player,last_raise_flopplayer,flop,mise en cas de raise/bet,decision
808807146,13.5,0,6,As 9s,3.75,2,1.78,0.5740055504162812,0.07560334528076464,0.13761777777777778,0,-1,Kd Ts 2d,1.78,bets
808806330,12.1,0,5,As Qc,1.25,2,0.59,0.5962072155411656,0.1780801209372638,0.12359185071049478,-1,-1,6d Td Kh,0.59,bets
808805894,14.0,1,6,4h 3h,2.25,2,0.0,0.6512488436632747,0.11871345029239766,0.1358793022159359,0,-1,Ts 9h 4d,0.0,checks
808805894,14.0,1,6,4h 3h,3.8600000000000003,2,1.61,0.6512488436632747,0.11871345029239766,0.1358793022159359,0,0,Ts 9h 4d,0.0,folds
808805136,13.85,0,5,Js Ks,2.55,2,1.21,0.4703977798334875,0.09936452917388792,0.13203378817413905,0,-1,5h 8d Qs,1.21,bets
808804290,14.5,0,5,7c 7h,2.0,4,1.0,0.8274745605920444,0.045989304812834225,0.09623836126629423,-1,-1,3d 6s Jh,1.0,bets
808803803,13.75,0,7,Ah Qh,3.0,2,1.9,0.971322849213691,0.052941176470588235,0.046153846153846156,0,-1,Ac 9s Kc,1.9,bets
808803752,8.5,0,5,Ks Qh,3.0,2,0.0,0.9893617021276596,0.07179487179487179,0.005851229380641146,0,-1,Kh Kd 6c,0.0,checks
808803538,14.0,2,5,6d 6h,5.5,4,1.5,0.8219241443108233,0.0459412780656304,0.11631046119235096,1,3,5d Qh 3d,0.0,folds
808803255,13.75,0,5,8s Ts,3.25,2,0.5,0.3482886216466235,0.10142610876038238,0.126246719160105,0,1,5c Qc Qs,0.0,folds
808803254,6.88,0,6,8h 8c,1.3399999999999999,2,0.42,0.8330249768732655,0.04604051565377532,0.09056603773584905,0,-1,Js 4c 6h,0.42,bets
808803096,13.85,0,4,Jd As,2.55,2,1.21,0.7146160962072156,0.08115015974440895,0.1299013299013299,0,-1,7d 4s 4h,1.21,bets
